reporting_delay
47
60
41
32
36
41
55
31
41
35
41
27
40
39
38
34
48
36
39
43
41
36
54
62
38
39
29
29
34
55
32
36
41
39
34
34
50
62
36
41
36
29
39
34
36
27
37
33
35
31
39
55
36
29
34
25
41
48
46
41
32
35
36
36
33
36
41
39
41
32
39
34
45
34
34
55
39
29
39
41
28
41
41
42
41
35
48
59
43
64
27
29
59
45
39
55
35
29
39
42
34
41
36
34
36
35
41
26
34
39
41
36
32
36
41
36
39
48
41
41
27
36
39
31
48
43
39
39
36
41
48
55
29
31
41
36
29
34
54
35
36
55
34
41
41
29
43
30
55
61
40
50
43
55
39
29
36
40
55
41
43
41
27
36
39
39
39
41
41
55
36
45
55
47
34
36
36
36
35
41
36
36
41
38
28
36
36
43
41
48
48
62
37
36
34
36
29
55
59
36
53
29
28
55
31
41
33
41
39
32
31
28
38
45
39
48
39
36
59
45
36
41
31
36
35
34
43
41
39
41
36
42
45
41
43
43
36
34
31
29
27
29
55
35
45
48
38
63
55
30
36
34
48
45
41
43
27
43
36
41
42
39
37
34
34
41
43
48
29
29
41
46
41
48
41
41
53
29
29
36
34
39
53
48
31
35
39
54
27
34
55
48
47
36
35
39
36
26
42
29
43
31
36
41
41
54
39
35
55
36
59
39
27
45
29
42
55
29
41
45
33
37
62
45
36
35
33
43
35
32
36
61
35
36
29
25
36
43
54
36
41
48
36
28
36
46
29
41
45
34
32
29
36
36
36
39
60
31
43
38
48
41
35
27
39
34
35
41
39
