reporting_delay
81
11
10
9
42
44
32
37
81
40
7
12
9
17
38
23
8
25
9
24
24
13
17
26
26
17
13
29
21
9
9
12
32
18
15
8
13
34
24
16
18
11
11
17
17
8
14
23
18
42
22
146
11
17
17
17
