sampling_date,reporting_date,reported,reporting_delay
2021-04-15,2021-05-03,TRUE,18
2021-04-04,2021-04-17,TRUE,13
2021-04-21,2021-05-04,TRUE,13
2021-03-29,2021-04-19,TRUE,21
2021-03-27,2021-04-12,TRUE,16
2021-02-02,2021-03-05,TRUE,31
2021-04-20,2021-05-11,TRUE,21
2021-03-01,2021-03-25,TRUE,24
2021-03-03,2021-03-24,TRUE,21
2021-03-22,2021-04-07,TRUE,16
2021-03-12,2021-04-15,TRUE,34
2021-02-02,2021-04-09,TRUE,66
2021-02-01,2021-04-09,TRUE,67
2021-03-30,2021-04-16,TRUE,17
2021-03-28,2021-04-14,TRUE,17
2021-03-27,2021-04-15,TRUE,19
2021-03-26,2021-04-15,TRUE,20
2021-04-01,2021-04-16,TRUE,15
2021-04-01,2021-04-16,TRUE,15
2021-04-04,2021-04-17,TRUE,13
2021-04-03,2021-04-17,TRUE,14
2021-04-03,2021-04-17,TRUE,14
2021-04-03,2021-04-17,TRUE,14
2021-04-02,2021-04-17,TRUE,15
2021-03-29,2021-04-19,TRUE,21
2021-03-29,2021-04-19,TRUE,21
2021-04-12,2021-04-21,TRUE,9
2021-04-07,2021-04-22,TRUE,15
2021-03-23,2021-04-09,TRUE,17
2021-02-08,2021-03-17,TRUE,37
2021-04-13,2021-04-27,TRUE,14
2021-05-05,2021-05-24,TRUE,19
2021-04-29,2021-06-02,TRUE,34
2021-04-13,2021-07-03,TRUE,81
2021-05-01,2021-05-16,TRUE,15
2021-05-03,2021-05-19,TRUE,16
2021-05-04,2021-05-20,TRUE,16
2021-05-11,2021-05-25,TRUE,14
2021-05-11,2021-05-25,TRUE,14
2021-05-10,2021-05-25,TRUE,15
2021-05-03,2021-05-24,TRUE,21
2021-04-29,2021-06-20,TRUE,52
2021-05-01,2021-05-16,TRUE,15
2021-05-01,2021-05-16,TRUE,15
2021-05-03,2021-05-16,TRUE,13
2021-05-03,2021-05-16,TRUE,13
2021-05-01,2021-05-16,TRUE,15
2021-04-29,2021-05-10,TRUE,11
2021-04-28,2021-05-10,TRUE,12
2021-04-28,2021-05-10,TRUE,12
2021-04-21,2021-05-10,TRUE,19
2021-04-28,2021-05-13,TRUE,15
2021-04-26,2021-05-13,TRUE,17
2021-05-10,2021-05-30,TRUE,20
2021-04-27,2021-05-13,TRUE,16
2021-06-23,2021-07-04,TRUE,11
2021-06-24,2021-07-04,TRUE,10
2021-06-25,2021-07-04,TRUE,9
2021-05-22,2021-07-03,TRUE,42
2021-05-20,2021-07-03,TRUE,44
2021-06-01,2021-07-03,TRUE,32
2021-05-27,2021-07-03,TRUE,37
2021-04-13,2021-07-03,TRUE,81
2021-05-08,2021-05-25,TRUE,17
2021-05-11,2021-05-27,TRUE,16
2021-05-11,2021-05-27,TRUE,16
2021-04-22,2021-05-13,TRUE,21
2021-04-22,2021-05-13,TRUE,21
2021-05-19,2021-06-03,TRUE,15
2021-05-27,2021-06-30,TRUE,34
2021-05-29,2021-06-30,TRUE,32
2021-05-20,2021-06-30,TRUE,41
2021-06-01,2021-06-29,TRUE,28
2021-05-20,2021-06-29,TRUE,40
2021-05-10,2021-06-29,TRUE,50
2021-06-09,2021-06-27,TRUE,18
2021-06-08,2021-06-27,TRUE,19
2021-06-08,2021-06-27,TRUE,19
2021-06-12,2021-06-26,TRUE,14
2021-06-17,2021-06-26,TRUE,9
2021-06-18,2021-06-26,TRUE,8
2021-05-11,2021-06-26,TRUE,46
2021-06-04,2021-06-23,TRUE,19
2021-03-25,2021-06-14,TRUE,81
2021-05-15,2021-06-05,TRUE,21
